<NOISE> 1.0	NSN
肉 1.0	n i k u
建物 1.0	t a t e m o n o
掃除 1.0	s o u j i
電気 1.0	d e N k i
橋 1.0	h a sh i
秋 1.0	a k i
御飯 1.0	g o h a N
ごはん 1.0	g o h a N
暇 1.0	h i m a
階段 1.0	k a i d a N
大好き 1.0	d a i s u k i
熱い 1.0	a ts u i
鳥 1.0	t o r i
赤 1.0	a k a
被る 1.0	k o u m u r u
午前 1.0	g o z e N
鍵 1.0	k a g i
荷物 1.0	n i m o ts u
洗濯 1.0	s e N t a k u
東 1.0	h i g a sh i
コピー 1.0	k o p i :
時計 1.0	t o k e i
杯 1.0	h a i
ニュース 1.0	ny u : s u
匹 1.0	h i k i
一日 1.0	ts u i t a ch i
立派 1.0	r i - p a
暑い 1.0	a ts u i
公園 1.0	k o u e N
机 1.0	ts u k u e
便利 1.0	b e N r i
下手 1.0	h e t a
門 1.0	m o N
西 1.0	n i sh i
太い 1.0	f u t o i
文章 1.0	b u N sh o u
段々 1.0	d a N d a N
アパート 1.0	a p a : t o
夕方 1.0	y u u g a t a
戸 1.0	t o
卵 1.0	t a m a g o
彼処 1.0	k a sh i k o
撮る 1.0	t o r u
ノート 1.0	n o : t o
上手 1.0	j o u z u
カメラ 1.0	k a m e r a
菓子 1.0	k a sh i
緑 1.0	m i d o r i
買い物 1.0	k a i m o n o
青い 1.0	a o i
シャツ 1.0	sh a ts u
南 1.0	m i n a m i
タクシー 1.0	t a k u sh i :
降る 1.0	f u r u
嫌う 1.0	k i r a u
初め 1.0	h a j i m e
靴 1.0	k u ts u
入り口 1.0	i r i g u ch i
廊下 1.0	r o u k a
練習 1.0	r e N sh u u
クラス 1.0	k u r a s u
並べる 1.0	n a r a b e r u
速い 1.0	h a y a i
晩 1.0	b a N
彼方 1.0	k a n a t a
眼鏡 1.0	m e g a n e
不味い 1.0	m a z u i
スポーツ 1.0	s u p o : ts u
勤める 1.0	ts u t o m e r u
日曜 1.0	n i ch i y o u
テープ 1.0	t e : p u
ポケット 1.0	p o k e - t o
去年 1.0	ky o n e N
吹く 1.0	f u k u
曲がる 1.0	m a g a r u
浴びる 1.0	a b i r u
食べ物 1.0	t a b e m o n o
ラジオ 1.0	r a j i o
青 1.0	a o
真っ直ぐ 1.0	m a - s u g u
汚い 1.0	k i t a n a i
教室 1.0	ky o u sh i ts u
角 1.0	k a k u
風邪 1.0	k a z e
脱ぐ 1.0	n u g u
丸い 1.0	m a r u i
危ない 1.0	a b u n a i
登る 1.0	n o b o r u
無くす 1.0	n a k u s u
散歩 1.0	s a N p o
皿 1.0	s a r a
大勢 1.0	o o z e i
キロメートル 1.0	k i r o m e : t o r u
ペット 1.0	p e - t o
地図 1.0	ch i z u
土曜 1.0	d o y o u
毎年 1.0	m a i t o sh i
野菜 1.0	y a s a i
洋服 1.0	y o u f u k u
レストラン 1.0	r e s u t o r a N
厚い 1.0	a ts u i
生徒 1.0	s e i t o
台所 1.0	d a i d o k o r o
いいえ 1.0	i i e
泳ぐ 1.0	o y o g u
池 1.0	i k e
毎月 1.0	m a i ts u k i
ペン 1.0	p e N
差す 1.0	s a s u
コート 1.0	k o : t o
ボタン 1.0	b o t a N
昨夜 1.0	y u u b e
カレー 1.0	k a r e :
弁当 1.0	b e N t o u
天気 1.0	t e N k i
パーティー 1.0	p a : t i :
来年 1.0	r a i n e N
漢字 1.0	k a N j i
今朝 1.0	k e s a
暖かい 1.0	a t a t a k a i
カップ 1.0	k a - p u
磨く 1.0	m i g a k u
弾く 1.0	h a j i k u
封筒 1.0	f u u t o u
財布 1.0	s a i f u
閉める 1.0	sh i m e r u
テスト 1.0	t e s u t o
帽子 1.0	b o u sh i
塩 1.0	sh i o
ズボン 1.0	z u b o N
喫茶 1.0	k i - s a
スカート 1.0	s u k a : t o
習う 1.0	n a r a u
溺れ 1.0	o b o r e
咲く 1.0	s a k u
牛乳 1.0	gy u u ny u u
ナイフ 1.0	n a i f u
夏休み 1.0	n a ts u y a s u m i
砂糖 1.0	s a t o u
傘 1.0	k a s a
冊 1.0	s a ts u
授業 1.0	j u gy o u
醤油 1.0	sh o u y u
黄色い 1.0	k i i r o i
葉書 1.0	h a g a k i
あれ 1.0	a r e
締める 1.0	sh i m e r u
コップ 1.0	k o - p u
デパート 1.0	d e p a : t o
シャワー 1.0	sh a w a :
箸 1.0	h a sh i
警官 1.0	k e i k a N
月曜 1.0	g e ts u y o u
鞄 1.0	k a b a N
食堂 1.0	sh o k u d o u
涼しい 1.0	s u z u sh i i
プール 1.0	p u : r u
ゼロ 1.0	z e r o
ポスト鼺郵便他 1.0	p o s u t o
黄色 1.0	k i i r o
エレベーター 1.0	e r e b e : t a :
フィルム 1.0	f i r u m u
石鹸 1.0	s e - k e N
晴れる 1.0	h a r e r u
飲み物 1.0	n o m i m o n o
鳴く 1.0	n a k u
茶色 1.0	ch a i r o
金曜 1.0	k i ny o u
キログラム 1.0	k i r o g u r a m u
ギター 1.0	g i t a :
切符 1.0	k i - p u
出口 1.0	d e g u ch i
飴 1.0	a m e
ネクタイ 1.0	n e k u t a i
今日は 1.0	k o N n i ch i h a
さようなら 1.0	s a y o u n a r a
御早う 1.0	o h a y o u
今月 1.0	k o N g e ts u
上着 1.0	u w a g i
辞書 1.0	j i sh o
ハンカチ 1.0	h a N k a ch i
毎晩 1.0	m a i b a N
切手 1.0	k i - t e
縦 1.0	t a t e
茶碗 1.0	ch a w a N
毎朝 1.0	m a i a s a
毎週 1.0	m a i sh u u
バター 1.0	b a t a :
靴下 1.0	k u ts u sh i t a
セーター 1.0	s e : t a :
来週 1.0	r a i sh u u
マッチ鼺合致 1.0	m a - ch i
レコード 1.0	r e k o : d o
閉まる 1.0	sh i m a r u
賑やか 1.0	n i g i y a k a
曇る 1.0	k u m o r u
今晩 1.0	k o N b a N
宿題 1.0	sh u k u d a i
先週 1.0	s e N sh u u
果物 1.0	k u d a m o n o
片仮名 1.0	k a t a k a n a
夕飯 1.0	y u u h a N
フォーク 1.0	f o : k u
紅茶 1.0	k o u ch a
来月 1.0	r a i g e ts u
鉛筆 1.0	e N p i ts u
水曜 1.0	s u i y o u
火曜 1.0	k a y o u
先月 1.0	s e N g e ts u
スリッパ 1.0	s u r i - p a
丈夫 1.0	j o u b u
灰皿 1.0	h a i z a r a
今週 1.0	k o N sh u u
ストーブ 1.0	s u t o : b u
スプーン 1.0	s u p u : N
平仮名 1.0	h i r a g a n a
カレンダー 1.0	k a r e N d a :
背広 1.0	s e b i r o
木曜 1.0	m o k u y o u
交番 1.0	k o u b a N
患う 1.0	w a z u r a u
今晩は 1.0	k o N b a N h a
もしもし 1.0	m o sh i m o sh i
ワイシャツ 1.0	w a i sh a ts u
手洗い 1.0	t e a r a i
牛肉 1.0	gy u u n i k u
点ける 1.0	ts u k e r u
一昨日 1.0	o t o t o i
曇り 1.0	k u m o r i
作文 1.0	s a k u b u N
豚肉 1.0	b u t a n i k u
本棚 1.0	h o N d a n a
晩御飯 1.0	b a N g o h a N
温い 1.0	n u k u i
花瓶 1.0	k a b i N
あさって 1.0	a s a - t e
八百屋 1.0	y a o y a
御巡り 1.0	o m a w a r i
ラジカセ 1.0	r a j i k a s e
易しい 1.0	y a s a sh i i
一昨年 1.0	o t o t o sh i
鳥肉 1.0	t o r i n i k u
朝御飯 1.0	a s a g o h a N
字引き 1.0	j i b i k i
昼御飯 1.0	h i r u g o h a N
事 1.0	k o t o
こと 1.0	k o t o
れる 1.0	r e r u
様 1.0	y o u
ず 1.0	z u
思う 1.0	o m o u
おもう 1.0	o m o u
ば 1.0	b a
られる 1.0	r a r e r u
仕舞う 1.0	sh i m a u
せる 1.0	s e r u
な 1.0	n a
けれど 1.0	k e r e d o
彼 1.0	k a r e
気 1.0	k i
呉れる 1.0	k u r e r u
為 1.0	t a m e
考える 1.0	k a N g a e r u
場合 1.0	b a a i
そんな 1.0	s o N n a
ほど 1.0	h o d o
貰う 1.0	m o r a u
訳 1.0	w a k e
間 1.0	a i d a
侭 1.0	m a m a
付ける 1.0	ts u k e r u
子 1.0	sh i
彼女 1.0	k a n o j o
僕 1.0	b o k u
見える 1.0	m i e r u
矢張り 1.0	y a h a r i
過ぎる 1.0	s u g i r u
必要 1.0	h i ts u y o u
筈 1.0	h a z u
女性 1.0	j o s e i
こう 1.0	k o u
ばかり 1.0	b a k a r i
以上 1.0	i j o u
始める 1.0	h a j i m e r u
変わる 1.0	k a w a r u
気持ち 1.0	k i m o ch i
関係 1.0	k a N k e i
別 1.0	b e ts u
若し 1.0	m o sh i
通り 1.0	t o o r i
心 1.0	k o k o r o
頂く 1.0	i t a d a k u
普通 1.0	f u ts u u
止める 1.0	y a m e r u
受ける 1.0	u k e r u
ちゃん 1.0	ch a N
続ける 1.0	ts u d u k e r u
確か 1.0	t a sh i k a
力 1.0	ch i k a r a
最近 1.0	s a i k i N
勿論 1.0	m o ch i r o N
戻る 1.0	m o d o r u
音 1.0	o t o
殆ど 1.0	h o t o N d o
場所 1.0	b a sh o
形 1.0	k e i
用 1.0	y o u
以外 1.0	i g a i
最初 1.0	s a i sh o
済む 1.0	s u m u
ちゃう 1.0	ch a u
送る 1.0	o k u r u
先ず 1.0	m a z u
代 1.0	d a i
理由 1.0	r i y u u
昔 1.0	m u k a sh i
駄目 1.0	d a m e
易い 1.0	y a s u i
娘 1.0	m u s u m e
為さる 1.0	n a s a r u
説明 1.0	s e ts u m e i
君 1.0	k u N
心配 1.0	sh i N p a i
御座る 1.0	g o z a r u
生活 1.0	s e i k a ts u
向かう 1.0	m u k a u
特に 1.0	t o k u n i
簡単 1.0	k a N t a N
残る 1.0	n o k o r u
凄い 1.0	s u g o i
世界 1.0	s e k a i
連絡 1.0	r e N r a k u
最後 1.0	s a i g o
君代名詞 1.0	k i m i
無理 1.0	m u r i
探す 1.0	s a g a s u
点 1.0	t e N
変える 1.0	k a e r u
積り 1.0	ts u m o r i
続く 1.0	ts u d u k u
動く 1.0	u g o k u
男性 1.0	d a N s e i
時代 1.0	j i d a i
主人 1.0	sh u j i N
笑う 1.0	w a r a u
選ぶ 1.0	e r a b u
経験 1.0	k e i k e N
打つ 1.0	u ts u
ずっと 1.0	z u - t o
立てる 1.0	t a t e r u
今度 1.0	k o N d o
必ず 1.0	k a n a r a z u
調べる 1.0	sh i r a b e r u
行う 1.0	o k o n a u
客 1.0	ky a k u
難い 1.0	g a t a i
首 1.0	sh u
生きる 1.0	i k i r u
市 1.0	sh i
上がる 1.0	a g a r u
落ちる 1.0	o ch i r u
深い 1.0	f u k a i
決める 1.0	k i m e r u
致す 1.0	i t a s u
はっきり 1.0	h a - k i r i
暫く 1.0	sh i b a r a k u
夫 1.0	o - t o
合う 1.0	a u
似る 1.0	n i r u
連れる 1.0	ts u r e r u
酷い 1.0	h i d o i
相談 1.0	s o u d a N
嬉しい 1.0	u r e sh i i
会 1.0	k a i
周り 1.0	m a w a r i
線 1.0	s e N
例えば 1.0	t a t o e b a
中々 1.0	n a k a n a k a
利用 1.0	r i y o u
無くなる 1.0	n a k u n a r u
払う 1.0	h a r a u
妻 1.0	ts u m a
夢 1.0	y u m e
式 1.0	sh i k i
一杯 1.0	i - p a i
怖い 1.0	k o w a i
頑張る 1.0	g a N b a r u
十分 1.0	j u u b u N
息子 1.0	m u s u k o
思い出す 1.0	o m o i d a s u
室 1.0	sh i ts u
県 1.0	k e N
原因 1.0	g e n i N
聞こえる 1.0	k i k o e r u
光 1.0	h i k a r i
警察 1.0	k e i s a ts u
注意 1.0	ch u u i
回る 1.0	m a w a r u
決まる 1.0	k i m a r u
させる 1.0	s a s e r u
見付ける 1.0	m i ts u k e r u
驚く 1.0	o d o r o k u
急 1.0	ky u u
意見 1.0	i k e N
予定 1.0	y o t e i
伝える 1.0	ts u t a e r u
アメリカ 1.0	a m e r i k a
急度 1.0	k i - t o
船 1.0	f u n e
食事 1.0	sh o k u j i
員 1.0	i N
可笑しい 1.0	o k a sh i i
とも 1.0	t o m o
尋ねる 1.0	t a z u n e r u
変 1.0	h e N
気分 1.0	k i b u N
大事 1.0	d a i j i
席 1.0	s e k i
パソコン 1.0	p a s o k o N
いらっしゃる 1.0	i r a - sh a r u
進む 1.0	s u s u m u
泣く 1.0	n a k u
ソフト 1.0	s o f u t o
あっ 1.0	a - 
腕 1.0	u d e
優しい 1.0	y a s a sh i i
起こす 1.0	o k o s u
高校 1.0	k o u k o u
捨てる 1.0	s u t e r u
匂い 1.0	n i o i
確り 1.0	sh i - k a r i
タイプ 1.0	t a i p u
指 1.0	y u b i
落とす 1.0	o t o s u
紹介 1.0	sh o u k a i
運転 1.0	u N t e N
社会 1.0	sh a k a i
代わり 1.0	k a w a r i
通る 1.0	t o o r u
仕方 1.0	sh i k a t a
嘘 1.0	u s o
危険 1.0	k i k e N
途中 1.0	t o ch u u
火 1.0	h i
怒る 1.0	o k o r u
血 1.0	ch i
安心 1.0	a N sh i N
大体 1.0	d a i t a i
返事 1.0	h e N j i
髪 1.0	k a m i
楽しむ 1.0	t a n o sh i m u
喜ぶ 1.0	y o r o k o b u
うん 1.0	u N
非常 1.0	h i j o u
興味 1.0	ky o u m i
増える 1.0	f u e r u
比べる 1.0	k u r a b e r u
事故 1.0	j i k o
見付かる 1.0	m i ts u k a r u
逃げる 1.0	n i g e r u
格好 1.0	k a - k o u
自由 1.0	j i y u u
全然 1.0	z e N z e N
構う 1.0	k a m a u
壁 1.0	k a b e
運ぶ 1.0	h a k o b u
運動 1.0	u N d o u
眠る 1.0	n e m u r u
裏 1.0	u r a
正しい 1.0	t a d a sh i i
キロ 1.0	k i r o
反対 1.0	h a N t a i
寺 1.0	j i
是非 1.0	z e h i
あんな 1.0	a N n a
都合 1.0	ts u g o u
以下 1.0	i k a
決して 1.0	k e - sh i t e
番組 1.0	b a N g u m i
焼く 1.0	y a k u
美しい 1.0	u ts u k u sh i i
