<NOISE> 1.0	NSN
กระบองเพชร 1.0	k r a2 b ɔː ŋ1 pʰ e t̚4
กระบะ 1.0	k r a2 b a ʔ2
กระบะทราย 1.0	k r a2 b a2 s aː j1
กระบี่ 1.0	k r a2 b iː2
กระบี่กระบอง 1.0	k r a2 b iː2 k r a2 b ɔː ŋ1
กระบือ 1.0	k r a2 b ɯː1
กระบุง 1.0	k r a2 b u ŋ1
กระปรี้กระเปร่า 1.0	k r a2 p r iː3 k r a2 p r a w2
กระปี๋ 1.0	k r a2 p iː5
กระปุก 1.0	k r a2 p u k̚2
กระปุกหมู 1.0	k r a2 p u k̚2 m uː5
กระปุกออมสิน 1.0	k r a2 p u k̚2 ʔ ɔː m1 s i n5
กระป๋อง 1.0	k r a2 p ɔ ŋ5
กระผม 1.0	k r a2 pʰ o m5
กระพริบ 1.0	k r a2 pʰ r i p̚4
กระพัง 1.0	k r a2 pʰ a ŋ1
กระมัง 1.0	k r a2 m a ŋ1
กระยาง 1.0	k r a2 j aː ŋ1
กระยาหาร 1.0	k r a2 j aː1 h aː n5
กระรอก 1.0	k r a2 r ɔː k̚3
กระลาโหม 1.0	k r a2 l aː1 h oː m5
กระษัตร 1.0	k r a2 s a t̚2
กระษัตร 1.0	k r a2 s a t̚2 t r a2
กระษัตริย์ 1.0	k r a2 s a t̚2
กระษัตรี 1.0	k r a2 s a t̚2 t r iː1
กระสวน 1.0	k r a2 s u a̯ n5
กระสวย 1.0	k r a2 s u a̯ j5
กระสวยอวกาศ 1.0	k r a2 s u a̯ j5 ʔ a2 w a4 k aː t̚2
กระสอบ 1.0	k r a2 s ɔː p̚2
กระสะ 1.0	k r a2 s a ʔ2
กระสา 1.0	k r a2 s aː5
กระสา 1.0	k r a1 s aː5
กระสาบ 1.0	k r a2 s aː p̚2
กระสาย 1.0	k r a2 s aː j5
กระสือ 1.0	k r a2 s ɯː5
กระสุน 1.0	k r a2 s u n5
กระหนก 1.0	k r a2 n o k̚2
กระหม่อม 1.0	k r a2 m ɔ m2
กระหรี่ 1.0	k r a2 r iː2
กระหล่ำ 1.0	k r a2 l a m2
กระหวัด 1.0	k r a2 w a t̚2
กระหาย 1.0	k r a2 h aː j5
กระอัก 1.0	k r a2 ʔ a k̚2
กระเจี๊ยบ 1.0	k r a2 t͡ɕ i a̯ p̚4
กระเจี๊ยว 1.0	k r a2 t͡ɕ i a̯ w4
กระเชา 1.0	k r a2 t͡ɕʰ a w1
กระเซิง 1.0	k r a2 s ɤː ŋ1
กระเซ็น 1.0	k r a2 s e n1
กระเดือก 1.0	k r a2 d ɯ a̯ k̚2
กระเด็น 1.0	k r a2 d e n1
กระเต็น 1.0	k r a2 t e n1
กระเทย 1.0	k r a2 tʰ ɤː j1
กระเทียม 1.0	k r a2 tʰ i a̯ m1
กระเบน 1.0	k r a2 b eː n1
กระเบื้อง 1.0	k r a2 b ɯ a̯ ŋ3
กระเป๋า 1.0	k r a2 p a w5
กระเป๋าตังค์ 1.0	k r a2 p a w5 t a ŋ1
กระเป๋าธนบัตร 1.0	k r a2 p a w5 tʰ a4 n a4 b a t̚2
กระเป๋าสตางค์ 1.0	k r a2 p a w5 s a2 t aː ŋ1
กระเป๋าเงิน 1.0	k r a2 p a w5 ŋ ɤ n1
กระเป๋าเดินทาง 1.0	k r a2 p a w5 d ɤː n1 tʰ aː ŋ1
กระเพรา 1.0	k r a2 pʰ r a w1
กระเพา 1.0	k r a2 pʰ a w1
กระเพาะ 1.0	k r a2 pʰ ɔ ʔ4
กระเพาะปัสสาวะ 1.0	k r a2 pʰ ɔ ʔ4 p a t̚2 s aː5 w a ʔ4
กระเพาะพัก 1.0	k r a2 pʰ ɔ ʔ4 pʰ a k̚4
กระเพาะอาหาร 1.0	k r a2 pʰ ɔ ʔ4 ʔ aː1 h aː n5
กระเรียน 1.0	k r a2 r i a̯ n1
กระเหรี่ยง 1.0	k r a2 r i a̯ ŋ2
กระแต 1.0	k r a2 t ɛː1
กระแทก 1.0	k r a2 tʰ ɛː k̚3
กระแส 1.0	k r a2 s ɛː5
กระแสไฟฟ้า 1.0	k r a2 s ɛː5 f a j1 f aː4
กระโจม 1.0	k r a2 t͡ɕ oː m1
กระโจมไฟ 1.0	k r a2 t͡ɕ oː m1 f a j1
กระโชก 1.0	k r a2 t͡ɕʰ oː k̚3
กระโดด 1.0	k r a2 d oː t̚2
กระโดดร่ม 1.0	k r a2 d oː t̚2 r o m3
กระโถน 1.0	k r a2 tʰ oː n5
กระโทง 1.0	k r a2 tʰ oː ŋ1
กระโปรง 1.0	k r a2 p r oː ŋ1
กระได 1.0	k r a2 d a j1
กรัง 1.0	k r a ŋ1
กรัม 1.0	k r a m1
กราด 1.0	k r aː t̚2
กราบ 1.0	k r aː p̚2
กราฟ 1.0	k r aː f4
กราฟ 1.0	k r aː p̚4
กราม 1.0	k r aː m1
กริช 1.0	k r i t̚2
กรินทร์ 1.0	k a2 r i n1
กริยา 1.0	k r i2 j aː1
กริยา 1.0	k a2 r i4 j aː1
กริยาช่วย 1.0	k r i2 j aː1 t͡ɕʰ u a̯ j3
กริยาช่วย 1.0	k a2 r i4 j aː1 t͡ɕʰ u a̯ j3
กริยานุเคราะห์ 1.0	k r i2 j aː1 n u4 kʰ r ɔ ʔ4
กริยานุเคราะห์ 1.0	k a2 r i4 j aː1 n u4 kʰ r ɔ ʔ4
กริยาวิเศษณานุประโยค 1.0	k r i2 j aː1 w i4 s eː5 s a2 n aː1 n u4 p r a2 j oː k̚2
กริยาวิเศษณานุประโยค 1.0	k a2 r i4 j aː1 w i4 s eː5 s a2 n aː1 n u4 p r a2 j oː k̚2
กริยาวิเศษณ์ 1.0	k r i2 j aː1 w i4 s eː t̚2
กริยาวิเศษณ์ 1.0	k a2 r i4 j aː1 w i4 s eː t̚2
กริ่ง 1.0	k r i ŋ2
กริ่งเกรง 1.0	k r i ŋ2 k r eː ŋ1
กริ้ว 1.0	k r i w3
กรี 1.0	k a2 r iː1
กรี 1.0	k r iː1
กรีก 1.0	k r iː k̚2
กรีซ 1.0	k r iː s2
กรีซ 1.0	k r iː s4
กรีด 1.0	k r iː t̚2
กรีนแลนด์ 1.0	k r iː n1 l ɛː n1
กรุง 1.0	k r u ŋ1
กรุงเขมา 1.0	k r u ŋ1 kʰ a2 m a w5
กรุงเทพ 1.0	k r u ŋ1 tʰ eː p̚3
กรุงเทพมหานคร 1.0	k r u ŋ1 tʰ eː p̚3 m a4 h aː5 n a4 kʰ ɔː n1
กรุงเทพฯ 1.0	k r u ŋ1 tʰ eː p̚3
กรุงเฮก 1.0	k r u ŋ1 h e k̚4
กรุณา 1.0	k a2 r u4 n aː1
กรุ่น 1.0	k r u n2
กรู 1.0	k r uː1
กรูม 1.0	k r uː m1
กร่อน 1.0	k r ɔ n2
กร่อย 1.0	k r ɔ j2
กร่าง 1.0	k r aː ŋ2
กฤดีกา 1.0	k r i2 d iː1 k aː1
กฤตยฎีกา 1.0	k r i t̚2 t a2 j a4 d iː1 k aː1
กฤษฎีกา 1.0	k r i t̚2 s a2 d iː1 k aː1
กฤษณา 1.0	k r i t̚2 s a2 n aː5
กล 1.0	k o n1
กล 1.0	k o n1 l a4
กลฉ้อฉล 1.0	k o n1 t͡ɕʰ ɔː3 t͡ɕʰ o n5
กลด 1.0	k l o t̚2
กลบ 1.0	k l o p̚2
กลบบัตร 1.0	k l o p̚2 b a t̚2
กลบบัตรสุมเพลิง 1.0	k l o p̚2 b a t̚2 s u m5 pʰ l ɤː ŋ1
กลบบาตร 1.0	k l o p̚2 b aː t̚2
กลบบาตรสุมเพลิง 1.0	k l o p̚2 b aː t̚2 s u m5 pʰ l ɤː ŋ1
กลม 1.0	k l o m1
กลมกล่อม 1.0	k l o m1 k l ɔ m2
กลมเกลียว 1.0	k l o m1 k l i a̯ w1
กลวง 1.0	k l u a̯ ŋ1
กลวิธี 1.0	k o n1 l a4 w i4 tʰ iː1
กลอง 1.0	k l ɔː ŋ1
กลองชุด 1.0	k l ɔː ŋ1 t͡ɕʰ u t̚4
กลองตุ้ม 1.0	k l ɔː ŋ1 t u m3
กลองทัด 1.0	k l ɔː ŋ1 tʰ a t̚4
กลองยาว 1.0	k l ɔː ŋ1 j aː w1
กลองสองหน้า 1.0	k l ɔː ŋ1 s ɔː ŋ5 n aː3
กลองแขก 1.0	k l ɔː ŋ1 kʰ ɛː k̚2
กลอน 1.0	k l ɔː n1
กลอุบาย 1.0	k o n1 ʔ u2 b aː j1
กลัด 1.0	k l a t̚2
กลับ 1.0	k l a p̚2
กลับคืน 1.0	k l a p̚2 kʰ ɯː n1
กลับตัว 1.0	k l a p̚2 t u a̯1
กลับตาลปัตร 1.0	k l a p̚2 t aː1 l a4 p a t̚2
กลับลำ 1.0	k l a p̚2 l a m1
กลับหลังหัน 1.0	k l a p̚2 l a ŋ5 h a n5
กลับเนื้อกลับตัว 1.0	k l a p̚2 n ɯ a̯4 k l a p̚2 t u a̯1
กลัว 1.0	k l u a̯1
กลัวดอกพิกุลจะร่วง 1.0	k l u a̯1 d ɔː k̚2 pʰ i4 k u n1 t͡ɕ a2 r u a̯ ŋ3
กลัวเหมือนหนูกลัวแมว 1.0	k l u a̯1 m ɯ a̯ n5 n uː5 k l u a̯1 m ɛː w1
กลั่น 1.0	k l a n2
กลั่นกรอง 1.0	k l a n2 k r ɔː ŋ1
กลั้น 1.0	k l a n3
กลั้ว 1.0	k l u a̯3
กลาก 1.0	k l aː k̚2
กลาง 1.0	k l aː ŋ1
กลางคืน 1.0	k l aː ŋ1 kʰ ɯː n1
กลางวัน 1.0	k l aː ŋ1 w a n1
กลางแจ้ง 1.0	k l aː ŋ1 t͡ɕ ɛː ŋ3
กลาบาต 1.0	k a2 l aː1 b aː t̚2
กลาย 1.0	k l aː j1
กลายพันธุ์ 1.0	k l aː j1 pʰ a n1
กลาโหม 1.0	k a2 l aː1 h oː m5
กลาโหม 1.0	k a1 l aː1 h oː m5
กลิ่น 1.0	k l i n2
กลิ่นตัว 1.0	k l i n2 t u a̯1
กลิ่นหอม 1.0	k l i n2 h ɔː m5
กลิ้ง 1.0	k l i ŋ3
กลิ้งเกลือก 1.0	k l i ŋ3 k l ɯ a̯ k̚2
กลีบ 1.0	k l iː p̚2
กลีบดอก 1.0	k l iː p̚2 d ɔː k̚2
กลีบดอกไม้ 1.0	k l iː p̚2 d ɔː k̚2 m aː j4
กลีบหิน 1.0	k l iː p̚2 h i n5
กลึง 1.0	k l ɯ ŋ1
กลืน 1.0	k l ɯː n1
กลืนไม่เข้าคายไม่ออก 1.0	k l ɯː n1 m a j3 kʰ a w3 kʰ aː j1 m a j3 ʔ ɔː k̚2
กลุ่ม 1.0	k l u m2
กลุ่มกระจุกดาราจักร 1.0	k l u m2 k r a2 t͡ɕ u k̚2 d aː1 r aː1 t͡ɕ a k̚2
กลุ่มดาว 1.0	k l u m2 d aː w1
กลุ่มอาการ 1.0	k l u m2 ʔ aː1 k aː n1
กลุ้ม 1.0	k l u m3
กลูโคส 1.0	k l uː1 kʰ oː t̚4
กลเม็ด 1.0	k o n1 l a4 m e t̚4
กลไก 1.0	k o n1 k a j1
กล่อง 1.0	k l ɔ ŋ2
กล่องดนตรี 1.0	k l ɔ ŋ2 d o n1 t r iː1
กล่องดวงใจ 1.0	k l ɔ ŋ2 d u a̯ ŋ1 t͡ɕ a j1
กล่องดินสอ 1.0	k l ɔː ŋ2 d i n1 s ɔː5
กล่องเสียง 1.0	k l ɔ ŋ2 s i a̯ ŋ5
กล่อม 1.0	k l ɔ m2
กล่าว 1.0	k l aː w2
กล่าวหา 1.0	k l aː w2 h aː5
กล้วย 1.0	k l u a̯ j3
กล้วยไม้ 1.0	k l u a̯ j3 m aː j4
กล้อง 1.0	k l ɔ ŋ3
กล้องจุลทรรศน์ 1.0	k l ɔ ŋ3 t͡ɕ u n1 l a4 tʰ a t̚4
กล้องจุลทรรศน์อิเล็กตรอน 1.0	k l ɔ ŋ3 t͡ɕ u n1 l a4 tʰ a t̚4 ʔ i2 l e k̚4 t r ɔ n1
กล้องจุลทรรศน์อิเล็กตรอนชนิดส่องกราด 1.0	k l ɔ ŋ3 t͡ɕ u n1 l a4 tʰ a t̚4 ʔ i2 l e k̚4 t r ɔ n1 t͡ɕʰ a4 n i t̚4 s ɔ ŋ2 k r aː t̚2
กล้องจุลทรรศน์อิเล็กตรอนชนิดส่องผ่าน 1.0	k l ɔ ŋ3 t͡ɕ u n1 l a4 tʰ a t̚4 ʔ i2 l e k̚4 t r ɔ n1 t͡ɕʰ a4 n i t̚4 s ɔ ŋ2 pʰ aː n2
กล้องดูดาว 1.0	k l ɔː ŋ3 d uː1 d aː w1
กล้องถ่ายภาพ 1.0	k l ɔ ŋ3 tʰ aː j2 pʰ aː p̚3
กล้องถ่ายรูป 1.0	k l ɔ ŋ3 tʰ aː j2 r uː p̚3
กล้องยาสูบ 1.0	k l ɔː ŋ3 j aː1 s uː p̚2
กล้องยาเส้น 1.0	k l ɔː ŋ3 j aː1 s eː n3
กล้องสนาม 1.0	k l ɔː ŋ3 s a2 n aː m5
กล้องสองตา 1.0	k l ɔː ŋ3 s ɔː ŋ5 t aː1
กล้องโทรทรรศน์ 1.0	k l ɔ ŋ3 tʰ oː1 r a4 tʰ a t̚4
กล้า 1.0	k l aː3
กล้าม 1.0	k l aː m3
กล้ามเนื้อ 1.0	k l aː m3 n ɯ a̯4
กล้ามเนื้อหัวใจ 1.0	k l aː m3 n ɯ a̯4 h u a̯5 t͡ɕ a j1
กล้ามเนื้อเรียบ 1.0	k l aː m3 n ɯ a̯4 r i a̯ p̚3
กล้ามเนื้อโครงร่าง 1.0	k l aː m3 n ɯ a̯4 kʰ r oː ŋ1 r aː ŋ3
กล้าย 1.0	k l aː j3
กล้าหาญ 1.0	k l aː3 h aː n5
